congress,nomination_number,citation,source,source_year,source_month,nomination_date,latest_action_date,latest_action_text,nominee,position_title,organization,description,court
118,813,PN813,congress.gov_api,2025,7,2023-07-11,2023-11-09,Confirmed by the Senate by Yea-Nay Vote. 53 - 42. Record Vote Number: 306.,,United States District Judge for the Eastern District of Michigan,The Judiciary,"Brandy R. McMillion, of Michigan, to be United States District Judge for the Eastern District of Michigan, vice Gershwin A. Drain, retired.",MI-E
118,903,PN903,congress.gov_api,2025,7,2023-07-27,2023-11-28,Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 315.,,United States District Judge for the District of Minnesota,The Judiciary,"Jeffrey M. Bryan, of Minnesota, to be United States District Judge for the District of Minnesota, vice John R. Tunheim, retiring.",MN-None
118,812,PN812,congress.gov_api,2025,7,2023-07-11,2023-10-17,Confirmed by the Senate by Yea-Nay Vote. 67 - 29. Record Vote Number: 255.,,United States District Judge for the District of Delaware,The Judiciary,"Jennifer L. Hall, of Pennsylvania, to be United States District Judge for the District of Delaware, vice Richard G. Andrews, retiring.",DE-None
118,1133,PN1133,congress.gov_api,2025,7,2023-11-06,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of Florida,The Judiciary,"David Seymour Leibowitz, of Florida, to be United States District Judge for the Southern District of Florida, vice Frederico A. Moreno, retired.",FL-S
118,1065,PN1065,congress.gov_api,2025,7,2023-10-04,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the First Circuit,The Judiciary,"Seth Robert Aframe, of New Hampshire, to be United States Circuit Judge for the First Circuit, vice Jeffrey R. Howard, retired.",
118,904,PN904,congress.gov_api,2025,7,2023-07-27,2023-12-11,Confirmed by the Senate by Yea-Nay Vote. 61 - 29. Record Vote Number: 336.,,United States Circuit Judge for the Tenth Circuit,The Judiciary,"Richard E.N. Federico, of Kansas, to be United States Circuit Judge for the Tenth Circuit, vice Mary Beck Briscoe, retired.",
118,1024,PN1024,congress.gov_api,2025,7,2023-09-18,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the District of Oregon,The Judiciary,"Mustafa Taher Kasubhai, of Oregon, to be United States District Judge for the District of Oregon, vice Ann L. Aiken, retiring.",OR-None
118,1103,PN1103,congress.gov_api,2025,7,2023-10-24,2023-12-19,Confirmed by the Senate by Yea-Nay Vote. 52 - 14. Record Vote Number: 351.,,United States District Judge for the Northern District of Oklahoma,The Judiciary,"Sara E. Hill, of Oklahoma, to be United States District Judge for the Northern District of Oklahoma, vice Claire V. Eagan, retired.",OK-N
118,1053,PN1053,congress.gov_api,2025,7,2023-09-27,2023-11-30,Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 324.,,United States District Judge for the District of Hawaii,The Judiciary,"Shanlyn A.S. Park, of Hawaii, to be United States District Judge for the District of Hawaii, vice Leslie E. Kobayashi, retiring.",HI-None
118,1021,PN1021,congress.gov_api,2025,7,2023-09-11,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Judge for the District Court of for the Northern Mariana Islands,The Judiciary,"Ramona Villagomez Manglona, of the Northern Mariana Islands, to be Judge for the District Court for the Northern Mariana Islands for a term of ten years.  (Reappointment)",
118,905,PN905,congress.gov_api,2025,7,2023-07-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the Seventh Circuit,The Judiciary,"Joshua Paul Kolar, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice Michael S. Kanne, deceased.",
118,906,PN906,congress.gov_api,2025,7,2023-07-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Northern District of California,The Judiciary,"Eumi K. Lee, of California, to be United States District Judge for the Northern District of California, vice William H. Orrick III, retired.",CA-N
118,1130,PN1130,congress.gov_api,2025,7,2023-11-06,2024-01-24,Confirmed by the Senate by Yea-Nay Vote. 80 - 17. Record Vote Number: 20.,,United States District Judge for the District of South Carolina,The Judiciary,"Jacquelyn D. Austin, of South Carolina, to be United States District Judge for the District of South Carolina, vice J. Michelle Childs, elevated.",SC-None
118,1066,PN1066,congress.gov_api,2025,7,2023-10-04,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the District of New Jersey,The Judiciary,"Edward Sunyol Kiel, of New Jersey, to be United States District Judge for the District of New Jersey, vice Kevin McNulty, retiring.",NJ-None
118,1131,PN1131,congress.gov_api,2025,7,2023-11-06,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of Florida,The Judiciary,"Jacqueline Becerra, of Florida, to be United States District Judge for the Southern District of Florida, vice Marcia G. Cooke, retired.",FL-S
118,1067,PN1067,congress.gov_api,2025,7,2023-10-04,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the District of Connecticut,The Judiciary,"Sarah French Russell, of Connecticut, to be United States District Judge for the District of Connecticut, vice Sarah A.L. Merriam, elevated.",CT-None
118,1132,PN1132,congress.gov_api,2025,7,2023-11-06,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of Florida,The Judiciary,"Melissa Damian, of Florida, to be United States District Judge for the Southern District of Florida, vice Ursula Namcusi Ungaro, retired.",FL-S
118,1020,PN1020,congress.gov_api,2025,7,2023-09-11,2024-01-09,Confirmed by the Senate by Yea-Nay Vote. 83 - 14. Record Vote Number: 2.,,United States District Judge for the Southern District of Texas,The Judiciary,"John A. Kazen, of Texas, to be United States District Judge for the Southern District of Texas, vice Vanessa D. Gilmore, retired.",TX-S
118,1023,PN1023,congress.gov_api,2025,7,2023-09-18,2023-11-29,Confirmed by the Senate by Yea-Nay Vote. 54 - 44. Record Vote Number: 322.,,United States District Judge for the District of New Jersey,The Judiciary,"Jamel Semper, of New Jersey, to be United States District Judge for the District of New Jersey, vice John Michael Vazquez, resigned.",NJ-None
118,1106,PN1106,congress.gov_api,2025,7,2023-10-24,2023-12-19,Confirmed by the Senate by Voice Vote.,,United States District Judge for the Northern District of Oklahoma,The Judiciary,"John David Russell, of Oklahoma, to be United States District Judge for the Northern District of Oklahoma, vice John E. Dowdell, retired.",OK-N
118,1022,PN1022,congress.gov_api,2025,7,2023-09-11,2023-11-29,Confirmed by the Senate by Yea-Nay Vote. 57 - 41. Record Vote Number: 320.,,United States District Judge for the District of Hawaii,The Judiciary,"Micah W.J. Smith, of Hawaii, to be United States District Judge for the District of Hawaii, vice J. Michael Seabright, retiring.",HI-None
118,1155,PN1155,congress.gov_api,2025,7,2023-11-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the District of Oregon,The Judiciary,"Amy M. Baggio, of Oregon, to be United States District Judge for the District of Oregon, vice Marco A. Hernandez, retiring.",OR-None
118,1159,PN1159,congress.gov_api,2025,7,2023-11-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the Third Circuit,The Judiciary,"Adeel Abdullah Mangi, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Joseph A. Greenaway, Jr., retired.",
118,1157,PN1157,congress.gov_api,2025,7,2023-11-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Northern District of Indiana,The Judiciary,"Cristal C. Brisco, of Indiana, to be United States District Judge for the Northern District of Indiana, vice Theresa Lazar Springmann, retired.",IN-N
118,1158,PN1158,congress.gov_api,2025,7,2023-11-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Northern District of Indiana,The Judiciary,"Gretchen S. Lund, of Indiana, to be United States District Judge for the Northern District of Indiana, vice Jon E. DeGuilio, retired.",IN-N
118,1151,PN1151,congress.gov_api,2025,7,2023-11-15,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Eastern District of California,The Judiciary,"Kirk Edward Sherriff, of California, to be United States District Judge for the Eastern District of California, vice Ana Isabel de Alba, elevated.",CA-E
118,1156,PN1156,congress.gov_api,2025,7,2023-11-27,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the Fourth Circuit,The Judiciary,"Nicole G. Berner, of Maryland, to be United States Circuit Judge for the Fourth Circuit, vice Diana Gribbon Motz, retired.",
118,1134,PN1134,congress.gov_api,2025,7,2023-11-06,2024-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Middle District of Florida,The Judiciary,"Julie Simone Sneed, of Florida, to be United States District Judge for the Middle District of Florida, vice Roy Bale Dalton, Jr., retired.",FL-M
118,24,PN24,congress.gov_api,2025,7,2023-01-03,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Trustees of the Federal Supplementary Medical Insurance Trust Fund,Federal Supplementary Medical Insurance Trust Fund,"Patricia Hart Neuman, of the District of Columbia, to be a Member of the Board of Trustees of the Federal Supplementary Medical Insurance Trust Fund for a term of four years, vice Robert D. Reischauer, term expired.",
118,26,PN26,congress.gov_api,2025,7,2023-01-03,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Trustees of the Federal Old-Age and Survivors Insurance Trust Fund and the Federal Disability Insurance Trust Fund,Federal Old-Age and Survivors Insurance Trust Fund,"Patricia Hart Neuman, of the District of Columbia, to be a Member of the Board of Trustees of the Federal Old-Age and Survivors Insurance Trust Fund and the Federal Disability Insurance Trust Fund for a term of four years, vice Robert D. Reischauer, term expired.",
118,25,PN25,congress.gov_api,2025,7,2023-01-03,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Trustees of the Federal Hospital Insurance Trust Fund,Federal Hospital Insurance Trust Fund,"Patricia Hart Neuman, of the District of Columbia, to be a Member of the Board of Trustees of the Federal Hospital Insurance Trust Fund for a term of four years, vice Robert D. Reischauer, term expired.",
118,1154,PN1154,congress.gov_api,2025,7,2023-11-27,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Ray D. McKenzie, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Hiram E. Puig-Lugo, retired.",
118,1153,PN1153,congress.gov_api,2025,7,2023-11-27,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Erin Camille Johnston, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Peter Arno Krauthamer, retired.",
118,1224,PN1224,congress.gov_api,2025,7,2024-01-08,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Executive Director of the International Monetary Fund,International Monetary Fund,"Elizabeth Shortino, of the District of Columbia, to be United States Executive Director of the International Monetary Fund for a term of two years, vice Margrethe Lundsager, resigned.",
118,1152,PN1152,congress.gov_api,2025,7,2023-11-27,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Sherri Malloy Beatty-Arthur, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Carol A. Dalton, retired.",
118,1359,PN1359,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Northern District of West Virginia,Department of Justice,"Joseph R. Adams, of West Virginia, to be United States Marshal for the Northern District of West Virginia for the term of four years, vice J. C. Raffety, term expired.",WV-N
118,1251,PN1251,congress.gov_api,2025,7,2024-01-08,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the Third Circuit,The Judiciary,"Adeel Abdullah Mangi, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Joseph A. Greenaway, Jr., retired.",
118,1225,PN1225,congress.gov_api,2025,7,2024-01-08,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Director of the European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,"Richard L.A. Weiner, of the District of Columbia, to be United States Director of the European Bank for Reconstruction and Development, vice J. Steven Dowd.",
118,1352,PN1352,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Kenechukwu Onyemaechi Okocha, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice William Ward Nooter, retired.",
118,1371,PN1371,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Southern District of West Virginia,Department of Justice,"David L. Lemmon II, of West Virginia, to be United States Marshal for the Southern District of West Virginia for the term of four years, vice Michael T. Baylous, term expired.",WV-S
118,1368,PN1368,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Southern District of Mississippi,Department of Justice,"Dale L. Bell, of Mississippi, to be United States Marshal for the Southern District of Mississippi for the term of four years, vice Mark B. Shepherd.",MS-S
118,1366,PN1366,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Southern District of Georgia,Department of Justice,"Roy W. Minter, Jr., of Georgia, to be United States Marshal for the Southern District of Georgia for the term of four years, vice David L. Lyons, term expired.",GA-S
118,1378,PN1378,congress.gov_api,2025,7,2024-01-25,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Directors of the Inter-American Foundation,Inter-American Foundation,"Maria Fabiana Jorge, of the District of Columbia, to be a Member of the Board of Directors of the Inter-American Foundation for a term expiring September 20, 2028, vice Hector E. Morales, term expired.",
118,1365,PN1365,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Attorney for the Northern District of Ohio,Department of Justice,"Rebecca C. Lutzko, of Ohio, to be United States Attorney for the Northern District of Ohio for the term of four years, vice Justin E. Herdman, resigned.",OH-N
118,1363,PN1363,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Attorney for the District of Massachusetts,Department of Justice,"Joshua S. Levy, of Massachusetts, to be United States Attorney for the District of Massachusetts for the term of four years, vice Rachael S. Rollins, resigned.",MA-None
118,1362,PN1362,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Attorney for the District of Guam,Department of Justice,"Johnny C. Gogo, of California, to be United States Attorney for the District of Guam and concurrently United States Attorney for the District of the Northern Mariana Islands for the term of four years, vice Alicia Anne Garrido Limtiaco, term expired.",GU-None
118,1367,PN1367,congress.gov_api,2025,7,2024-01-11,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Northern District of Mississippi,Department of Justice,"Michael Purnell, of Mississippi, to be United States Marshal for the Northern District of Mississippi for the term of four years, vice Daniel R. McKittrick, term expired.",MS-N
118,1459,PN1459,congress.gov_api,2025,7,2024-02-27,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Attorney for the Northern District of Iowa,Department of Justice,"Matthew L. Gannon, of Iowa, to be United States Attorney for the Northern District of Iowa for the term of four years, vice Peter E. Deegan, Jr., resigned.",IA-N
118,1464,PN1464,congress.gov_api,2025,7,2024-02-27,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Attorney for the Southern District of Iowa,Department of Justice,"David C. Waterman, of Iowa, to be United States Attorney for the Southern District of Iowa for the term of four years, vice Marc Krickbaum, resigned.",IA-S
118,1435,PN1435,congress.gov_api,2025,7,2024-02-08,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Middle District of Alabama,Department of Justice,"John E. Richardson, of Alabama, to be United States Marshal for the Middle District of Alabama for the term of four years, vice Jesse Seroyer, Jr., term expired.",AL-M
118,1407,PN1407,congress.gov_api,2025,7,2024-02-01,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of California,The Judiciary,"Rebecca Suzanne Kanter, of California, to be United States District Judge for the Southern District of California, vice William Q. Hayes, retired.",CA-S
118,1383,PN1383,congress.gov_api,2025,7,2024-01-25,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Commissioner of the United States Parole Commission,United States Parole Commission,"Almo J. Carter, of the District of Columbia, to be a Commissioner of the United States Parole Commission for a term of six years, vice J. Patricia Wilson Smoot, term expired.",
118,1431,PN1431,congress.gov_api,2025,7,2024-02-08,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the National Council on the Humanities,National Endowment for the Humanities,"Margaret Mary FitzPatrick, of the District of Columbia, to be a Member of the National Council on the Humanities for a term expiring January 26, 2030, vice Katherine H. Tachau, term expired.",
118,1571,PN1571,congress.gov_api,2025,7,2024-03-21,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"Rahkel Bouchet, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Robert E. Morin, retired.",
118,1568,PN1568,congress.gov_api,2025,7,2024-03-21,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Directors of the Corporation for Public Broadcasting,Corporation for Public Broadcasting,"Felix R. Sanchez, of the District of Columbia, to be a Member of the Board of Directors of the Corporation for Public Broadcasting for a term expiring January 31, 2028, vice Robert A. Mandell, term expired.",
118,1626,PN1626,congress.gov_api,2025,7,2024-04-18,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the District of Columbia Court of Appeals,The Judiciary,"Carmen G. Iguina Gonzalez, of the District of Columbia, to be an Associate Judge of the District of Columbia Court of Appeals for the term of fifteen years, vice Loren L. AliKhan.",
118,1575,PN1575,congress.gov_api,2025,7,2024-03-21,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of Florida,The Judiciary,"Detra Shaw-Wilder, of Florida, to be United States District Judge for the Southern District of Florida, vice Robert N. Scola, Jr., retired.",FL-S
118,1578,PN1578,congress.gov_api,2025,7,2024-03-21,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Eastern District of Kentucky,Department of Justice,"Bobby Jack Woods, of Kentucky, to be United States Marshal for the Eastern District of Kentucky for the term of four years, vice Norman Euell Arflack, term expired.",KY-E
118,1572,PN1572,congress.gov_api,2025,7,2024-03-21,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the Superior Court of the District of Columbia,The Judiciary,"John Cuong Truong, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Wendell P. Gardner, Jr., retired.",
118,1652,PN1652,congress.gov_api,2025,7,2024-04-30,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the District of Montana,The Judiciary,"Danna R. Jackson, of the District of Columbia, to be United States District Judge for the District of Montana, vice Dana L. Christensen, retiring.",MT-None
118,1627,PN1627,congress.gov_api,2025,7,2024-04-18,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Associate Judge of the District of Columbia Court of Appeals,The Judiciary,"Joseph Russell Palmore, of the District of Columbia, to be an Associate Judge of the District of Columbia Court of Appeals for the term of fifteen years, vice Kathryn A. Oberly, retired.",
118,1653,PN1653,congress.gov_api,2025,7,2024-04-30,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States District Judge for the Southern District of New York,The Judiciary,"Sarah Netburn, of New York, to be United States District Judge for the Southern District of New York, vice Lorna G. Schofield, retiring.",NY-S
118,1629,PN1629,congress.gov_api,2025,7,2024-04-18,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Marshal for the Southern District of Alabama,Department of Justice,"Miranda L. Holloway-Baggett, of Alabama, to be United States Marshal for the Southern District of Alabama for the term of four years, vice Mark F. Sloke, term expired.",AL-S
118,1628,PN1628,congress.gov_api,2025,7,2024-04-18,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,General Counsel of the Office of the Director of National Intelligence,Office of the Director of National Intelligence,"John Bradford Wiegmann, of the District of Columbia, to be General Counsel of the Office of the Director of National Intelligence, vice Christopher Charles Fonzone, resigned.",
118,1788,PN1788,congress.gov_api,2025,7,2024-05-23,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Alternate Executive Director of the International Monetary Fund,International Monetary Fund,"Stephanie E. Segal, of the District of Columbia, to be United States Alternate Executive Director of the International Monetary Fund for a term of two years, vice Sunil Sabharwal, resigned.",
118,1791,PN1791,congress.gov_api,2025,7,2024-05-23,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the Board of Directors of the State Justice Institute,State Justice Institute,"Bethany Pickett Shah, of Texas, to be a Member of the Board of Directors of the State Justice Institute for a term expiring September 17, 2025, vice John B. Nalbandian, resigned.",
118,1789,PN1789,congress.gov_api,2025,7,2024-05-23,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,Member of the National Labor Relations Board,National Labor Relations Board,"Lauren McGarity McFerran, of the District of Columbia, to be a Member of the National Labor Relations Board for the term of five years expiring December 16, 2029.  (Reappointment)",
118,1805,PN1805,congress.gov_api,2025,7,2024-06-04,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the Sixth Circuit,The Judiciary,"Karla M. Campbell, of Tennessee, to be United States Circuit Judge for the Sixth Circuit, vice Jane Branstetter Stranch, retiring.",
118,1808,PN1808,congress.gov_api,2025,7,2024-06-04,2025-01-03,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",,United States Circuit Judge for the First Circuit,The Judiciary,"Julia M. Lipez, of Maine, to be United States Circuit Judge for the First Circuit, vice William J. Kayatta, Jr., retiring.",
